flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
2340,529,192,8720,28.3478,24.5522,30.593,31.3801,31.1828,25.9817,25.9193,31.4519,22.3149,30.444,30.4496,27.6112,30.4751,22.6462,27.6913,29.1579,28.8228,31.5985,26.9546,27.2657,29.8129,27.0536,28.9352,32.445,25.608,
2336,529,192,8720,28.3477,24.5675,30.6391,31.4173,31.1893,25.972,25.9293,31.3918,22.3014,30.4122,30.3996,27.6177,30.4067,22.6602,27.7181,29.1365,28.9014,31.6116,26.9618,27.2866,29.765,27.0617,28.9541,32.4176,25.6263,
292,529,192,8720,28.3471,24.5658,30.6149,31.3953,31.17,25.9611,25.9379,31.3872,22.3059,30.3891,30.3825,27.6176,30.4766,22.6671,27.6867,29.1717,28.8577,31.6095,26.9581,27.2849,29.8218,27.0641,28.9527,32.4222,25.6288,
2400,529,192,8720,28.3469,24.5561,30.6282,31.4114,31.1863,25.9705,25.9202,31.4037,22.2978,30.4325,30.4309,27.6072,30.4245,22.6408,27.7132,29.163,28.8911,31.6008,26.9549,27.2765,29.7948,27.0472,28.9408,32.4268,25.6066,
352,529,192,8720,28.3458,24.5668,30.6437,31.4233,31.1734,25.9505,25.9352,31.3434,22.2879,30.3782,30.3665,27.613,30.4302,22.6609,27.7068,29.1792,28.921,31.6132,26.9563,27.2927,29.8076,27.0578,28.9566,32.4071,25.6269,
288,529,192,8720,28.3454,24.5757,30.6528,31.4296,31.1771,25.9516,25.9427,31.3356,22.2901,30.3587,30.3375,27.6204,30.4124,22.6767,27.7107,29.1522,28.9292,31.6217,26.9601,27.2973,29.7799,27.0689,28.9669,32.3987,25.6431,
420,529,192,8720,28.3426,24.5538,30.5982,31.3837,31.1809,25.9579,25.914,31.4056,22.2986,30.4242,30.4283,27.6107,30.473,22.6447,27.6815,29.1593,28.8479,31.5932,26.9506,27.2803,29.8064,27.0546,28.9371,32.4306,25.6068,
296,529,192,8720,28.3425,24.57,30.6436,31.4105,31.1837,25.9563,25.942,31.3419,22.2932,30.391,30.363,27.6115,30.4226,22.6571,27.705,29.1409,28.9076,31.6003,26.9528,27.2868,29.802,27.0578,28.9568,32.407,25.6175,
416,529,192,8720,28.3423,24.566,30.6406,31.4202,31.1884,25.95,25.9214,31.3501,22.2837,30.3927,30.3803,27.6145,30.4052,22.6577,27.7078,29.1421,28.9231,31.6085,26.9564,27.2972,29.7609,27.062,28.9551,32.4058,25.6244,
480,529,192,8720,28.342,24.5558,30.6304,31.4138,31.1858,25.9483,25.9132,31.3617,22.2804,30.4129,30.412,27.6062,30.4237,22.6391,27.7036,29.1657,28.9147,31.5976,26.9507,27.2898,29.7898,27.0497,28.9423,32.4149,25.6057,
8480,529,192,8720,28.342,24.5577,30.6439,31.416,31.1768,25.9582,25.9281,31.364,22.2974,30.3699,30.365,27.6083,30.4039,22.6572,27.7087,29.1807,28.9061,31.6166,26.9525,27.2832,29.7621,27.0623,28.9528,32.4123,25.6231,
1312,529,192,8720,28.3418,24.5703,30.645,31.4109,31.177,25.9589,25.9351,31.3507,22.2962,30.3819,30.348,27.6126,30.4107,22.6531,27.7097,29.1785,28.9099,31.6139,26.9527,27.2902,29.7587,27.059,28.9552,32.4105,25.6147,
360,529,192,8720,28.3405,24.5573,30.6321,31.4027,31.179,25.953,25.9328,31.3501,22.2886,30.4085,30.392,27.6005,30.4404,22.6377,27.6989,29.1636,28.8969,31.5861,26.9457,27.2783,29.8283,27.0435,28.9432,32.4156,25.5976,
3360,529,192,8720,28.3383,24.5572,30.6271,31.3946,31.1848,25.9723,25.9147,31.4004,22.3014,30.4325,30.4078,27.6048,30.4002,22.629,27.7098,29.1597,28.8756,31.596,26.9485,27.2698,29.7366,27.0433,28.936,32.4263,25.5916,
300,529,192,8720,28.3382,24.5556,30.5976,31.3706,31.1715,25.9583,25.9301,31.3863,22.3032,30.4166,30.4058,27.6028,30.4875,22.6404,27.6722,29.1555,28.8291,31.5773,26.9434,27.2658,29.8423,27.0447,28.9364,32.4284,25.596,
356,529,192,8720,28.3376,24.5498,30.5942,31.3813,31.1576,25.9515,25.9273,31.3819,22.2906,30.3913,30.4019,27.603,30.4885,22.6468,27.6748,29.1816,28.8443,31.587,26.9443,27.2646,29.8347,27.047,28.9341,32.4194,25.6043,
8484,529,192,8720,28.3373,24.542,30.5985,31.3757,31.1648,25.9617,25.9182,31.4104,22.307,30.393,30.4044,27.6005,30.4647,22.6422,27.6777,29.1906,28.828,31.5961,26.9431,27.2637,29.7945,27.0526,28.9334,32.4288,25.6026,
8488,529,192,8720,28.3371,24.5496,30.6338,31.3944,31.1833,25.9605,25.9247,31.3712,22.2998,30.403,30.3902,27.5964,30.4142,22.6331,27.6999,29.1651,28.8816,31.59,26.9413,27.2712,29.7846,27.0482,28.9399,32.4207,25.5929,
1320,529,192,8720,28.337,24.5635,30.6346,31.39,31.1828,25.9615,25.9331,31.3583,22.2988,30.4133,30.3726,27.6016,30.4214,22.6298,27.7017,29.1633,28.8863,31.5898,26.9408,27.2765,29.7798,27.0458,28.9416,32.4188,25.5836,
8608,529,192,8720,28.3369,24.5456,30.6307,31.4048,31.1884,25.9547,25.9045,31.3789,22.2904,30.4058,30.4085,27.6002,30.3948,22.6341,27.7032,29.1656,28.8979,31.5998,26.946,27.2811,29.74,27.053,28.9385,32.4191,25.5993,
