flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
2340,529,192,8720,28.3478,24.5522,30.593,31.3801,31.1828,25.9817,25.9193,31.4519,22.3149,30.444,30.4496,27.6112,30.4751,22.6462,27.6913,29.1579,28.8228,31.5985,26.9546,27.2657,29.8129,27.0536,28.9352,32.445,25.608,
2340,528,192,8720,28.3477,24.5583,30.6331,31.3816,31.1689,25.9637,25.9537,31.3849,22.3425,30.3978,30.4283,27.6106,30.4105,22.6542,27.7136,29.1997,28.89,31.6053,26.9647,27.2618,29.7765,27.0678,28.9413,32.4224,25.6137,
2340,592,192,8720,28.3475,24.5537,30.6279,31.3996,31.1688,25.9729,25.933,31.4009,22.3148,30.4089,30.4268,27.6009,30.4271,22.6389,27.7137,29.2176,28.8799,31.6065,26.9539,27.2688,29.8044,27.0482,28.934,32.4314,25.6075,
2340,8720,192,8720,28.3467,24.5483,30.6203,31.4053,31.1732,25.9896,25.9174,31.4433,22.3091,30.417,30.4259,27.603,30.3995,22.6367,27.7212,29.2263,28.869,31.614,26.96,27.2651,29.7475,27.0479,28.9311,32.4451,25.6056,
2340,8721,192,8720,28.345,24.5356,30.5761,31.4072,31.1898,26.0089,25.8752,31.5149,22.275,30.4633,30.4469,27.6005,30.4675,22.6236,27.6952,29.1839,28.7934,31.6051,26.9473,27.2619,29.7875,27.0277,28.9207,32.4768,25.5964,
2340,656,192,8720,28.3449,24.5527,30.6242,31.3957,31.1833,25.9723,25.922,31.3997,22.3137,30.4291,30.4435,27.6041,30.4026,22.6322,27.7126,29.1834,28.8825,31.6045,26.9515,27.2811,29.7549,27.0526,28.9357,32.4348,25.6079,
2340,536,192,8720,28.3444,24.5599,30.6274,31.3853,31.1776,25.967,25.9477,31.39,22.3268,30.422,30.4179,27.6009,30.4268,22.6412,27.7072,29.1851,28.8776,31.5922,26.9551,27.2467,29.7891,27.0548,28.9384,32.4255,25.603,
2340,720,192,8720,28.3434,24.5472,30.617,31.4169,31.1826,25.9759,25.8974,31.4206,22.2835,30.4401,30.4433,27.5926,30.4198,22.6126,27.7093,29.2023,28.8708,31.6015,26.9374,27.2871,29.7823,27.0312,28.9253,32.4449,25.5998,
2340,600,192,8720,28.3421,24.5525,30.6194,31.4058,31.177,25.9714,25.9241,31.4049,22.2963,30.4325,30.4147,27.5881,30.444,22.6219,27.7037,29.2028,28.8649,31.5903,26.9399,27.2496,29.8148,27.0311,28.9286,32.4374,25.5942,
2340,8728,192,8720,28.3419,24.5481,30.612,31.4114,31.1821,25.9896,25.908,31.4547,22.2892,30.4409,30.4147,27.5912,30.4169,22.6197,27.7126,29.2119,28.8541,31.598,26.9474,27.2458,29.76,27.031,28.9245,32.4523,25.591,
