flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
2340,8721,192,8720,28.345,24.5356,30.5761,31.4072,31.1898,26.0089,25.8752,31.5149,22.275,30.4633,30.4469,27.6005,30.4675,22.6236,27.6952,29.1839,28.7934,31.6051,26.9473,27.2619,29.7875,27.0277,28.9207,32.4768,25.5964,
2340,8721,2256,8720,28.3443,24.5319,30.5744,31.4053,31.1961,26.0199,25.8609,31.5318,22.2688,30.4698,30.4485,27.5948,30.472,22.6121,27.6967,29.1834,28.7753,31.6018,26.9462,27.259,29.7887,27.022,28.9199,32.4919,25.5921,
2340,8721,720,8720,28.3442,24.5342,30.5775,31.425,31.2023,26.027,25.8471,31.5312,22.2452,30.465,30.4185,27.5972,30.4731,22.6123,27.6968,29.1811,28.7799,31.6085,26.9441,27.2754,29.7874,27.0173,28.923,32.492,25.5996,
2340,8721,2772,8720,28.3442,24.5276,30.5668,31.4028,31.2054,26.0326,25.8448,31.5548,22.2623,30.4766,30.452,27.5885,30.4789,22.598,27.6966,29.1858,28.7555,31.599,26.9449,27.2559,29.7939,27.0164,28.9198,32.515,25.5859,
2340,8721,708,8720,28.3441,24.5325,30.5736,31.4041,31.1946,26.0182,25.8623,31.5303,22.2695,30.4679,30.4496,27.5952,30.4701,22.6117,27.6946,29.184,28.7757,31.6002,26.9456,27.2591,29.7907,27.0231,28.9199,32.4936,25.5916,
2340,8721,2244,8720,28.3435,24.5291,30.5695,31.3842,31.1895,26.0081,25.8742,31.5327,22.292,30.4721,30.4772,27.5912,30.47,22.6094,27.6939,29.1876,28.7702,31.5942,26.9463,27.2426,29.7915,27.0269,28.9162,32.4946,25.5816,
2340,8721,208,8720,28.3434,24.538,30.5763,31.4148,31.1931,26.0192,25.8643,31.5206,22.259,30.4605,30.4296,27.5974,30.4773,22.6202,27.695,29.1546,28.7842,31.6002,26.9459,27.2604,29.8085,27.0195,28.9226,32.4811,25.6003,
2340,8721,704,8720,28.3432,24.5285,30.5754,31.414,31.1966,26.0159,25.8572,31.5195,22.2588,30.4624,30.4347,27.5981,30.4597,22.6153,27.6954,29.2088,28.7877,31.6096,26.9441,27.271,29.7629,27.0238,28.9192,32.4844,25.5948,
2340,8721,196,8720,28.3431,24.5359,30.5717,31.3949,31.1869,26.0084,25.8783,31.521,22.2815,30.4632,30.458,27.5949,30.4752,22.6188,27.6923,29.158,28.7801,31.5923,26.9468,27.2448,29.8115,27.0247,28.9193,32.4838,25.5916,
2340,8721,2240,8720,28.3431,24.5257,30.5719,31.3953,31.1913,26.0071,25.8695,31.5208,22.2808,30.4669,30.4627,27.595,30.4593,22.614,27.6948,29.2117,28.7832,31.6032,26.9453,27.2551,29.764,27.0281,28.9162,32.485,25.5865,
2340,8721,724,8720,28.3427,24.5349,30.5719,31.4138,31.1997,26.0296,25.8498,31.5396,22.2514,30.4662,30.4305,27.5917,30.4827,22.6077,27.694,29.1528,28.7654,31.5958,26.9441,27.2571,29.8146,27.0136,28.9217,32.5009,25.5956,
2340,8721,2768,8720,28.3427,24.5237,30.5724,31.4138,31.2051,26.0279,25.8404,31.5397,22.2507,30.4701,30.4349,27.5916,30.4648,22.6024,27.6968,29.2113,28.7689,31.6081,26.9431,27.2683,29.7622,27.0171,28.9184,32.5026,25.59,
2340,8721,2260,8720,28.3424,24.5318,30.5685,31.3925,31.1937,26.0213,25.8631,31.5407,22.2757,30.4705,30.4604,27.5884,30.4821,22.6061,27.6937,29.156,28.76,31.5885,26.9456,27.24,29.8155,27.0178,28.9184,32.5009,25.5861,
2340,8721,2756,8720,28.3422,24.5214,30.5677,31.3922,31.1975,26.0178,25.8551,31.5394,22.2758,30.4723,30.466,27.5887,30.4625,22.6009,27.6943,29.2152,28.764,31.5997,26.944,27.2515,29.7655,27.0228,28.9147,32.5043,25.5803,
2340,8721,448,8720,28.3416,24.5286,30.5743,31.4061,31.1956,26.0222,25.8613,31.527,22.2633,30.4603,30.4444,27.5915,30.4637,22.6093,27.695,29.1829,28.7799,31.6014,26.94,27.2536,29.7845,27.0188,28.9172,32.4889,25.5879,
2340,8721,224,8720,28.3415,24.5287,30.575,31.4054,31.1938,26.0197,25.8625,31.5274,22.2641,30.459,30.4473,27.591,30.4639,22.6083,27.6934,29.1837,28.7804,31.601,26.9381,27.2552,29.7851,27.021,28.9161,32.4915,25.5851,
2340,8721,13515,8720,28.3412,24.5677,30.5783,31.3723,31.217,25.9517,25.8715,31.4885,22.282,30.4388,30.3942,27.5979,30.4544,22.6517,27.7041,29.1793,28.8009,31.5932,26.9869,27.2361,29.716,27.0613,28.9494,32.4554,25.6392,
2340,8721,2288,8720,28.3408,24.5233,30.5727,31.4042,31.202,26.0321,25.8455,31.5493,22.2568,30.4672,30.4483,27.5834,30.4699,22.5934,27.6954,29.1851,28.7596,31.5981,26.9354,27.2519,29.7875,27.0135,28.9143,32.5112,25.5781,
2340,8721,964,8720,28.3405,24.5238,30.571,31.4043,31.2022,26.0323,25.8457,31.5471,22.2564,30.4655,30.4471,27.5842,30.4675,22.5943,27.6947,29.185,28.7601,31.5969,26.937,27.2502,29.789,27.0121,28.9158,32.5107,25.5803,
