flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
2340,8721,480,8720,28.3375,24.5196,30.5724,31.4052,31.1999,26.0327,25.8463,31.5424,22.251,30.4565,30.4444,27.5798,30.4609,22.5906,27.6928,29.1847,28.7649,31.5963,26.9289,27.2465,29.7834,27.0098,28.9111,32.5073,25.5731,
2340,8721,480,529,28.3375,24.5201,30.5736,31.4041,31.1995,26.0313,25.8458,31.5429,22.2518,30.4589,30.4412,27.5818,30.4611,22.5891,27.6924,29.1856,28.7642,31.598,26.9272,27.248,29.7818,27.0116,28.9106,32.5066,25.5728,
2340,8721,480,2580,28.3374,24.5194,30.574,31.4091,31.1989,26.0349,25.8448,31.5411,22.2521,30.4572,30.4348,27.5827,30.4625,22.589,27.693,29.1848,28.7655,31.597,26.9268,27.2454,29.7833,27.0104,28.9102,32.5065,25.5737,
2340,8721,480,532,28.3369,24.5247,30.5766,31.4054,31.1924,26.0206,25.8472,31.5317,22.256,30.4555,30.4319,27.5855,30.4603,22.5974,27.6902,29.1847,28.767,31.5952,26.9319,27.2487,29.7832,27.0132,28.9123,32.4971,25.5771,
2340,8721,480,2576,28.3368,24.5243,30.5761,31.4064,31.1916,26.0207,25.8476,31.532,22.256,30.4552,30.4322,27.5847,30.4616,22.5974,27.6897,29.1846,28.7675,31.5962,26.9328,27.2484,29.7847,27.0111,28.9124,32.4957,25.5753,
2340,8721,480,8721,28.3366,24.5077,30.5646,31.4055,31.2116,26.0552,25.8408,31.5604,22.242,30.4613,30.4537,27.572,30.4614,22.569,27.6962,29.1849,28.7592,31.596,26.9136,27.2432,29.7788,27.0046,28.9043,32.5287,25.5629,
2340,8721,480,8724,28.3364,24.5137,30.5692,31.4068,31.2059,26.0453,25.8422,31.5488,22.2454,30.4568,30.4453,27.5762,30.46,22.58,27.694,29.1827,28.762,31.5943,26.9206,27.243,29.7791,27.0073,28.9078,32.5182,25.5699,
2340,8721,480,2577,28.3364,24.5136,30.5692,31.4071,31.2045,26.0439,25.8423,31.5493,22.2464,30.459,30.4423,27.5776,30.4618,22.5783,27.6936,29.1843,28.7619,31.5969,26.9197,27.2443,29.7798,27.0074,28.9069,32.516,25.5673,
2340,8721,480,530,28.3361,24.5238,30.5749,31.4024,31.1891,26.0119,25.8481,31.5326,22.2561,30.4551,30.4369,27.5847,30.4598,22.598,27.6892,29.1843,28.7667,31.594,26.9322,27.2479,29.7822,27.014,28.9126,32.4969,25.5734,
2340,8721,480,528,28.336,24.5277,30.5782,31.4031,31.1847,26.0067,25.8487,31.5264,22.2588,30.4533,30.4291,27.5863,30.4605,22.6034,27.6868,29.1856,28.7678,31.5941,26.9363,27.2498,29.7849,27.0127,28.9133,32.4885,25.5776,
2340,8721,480,4624,28.336,24.5242,30.5745,31.4008,31.1898,26.0119,25.8488,31.5331,22.2563,30.4538,30.4365,27.5831,30.4606,22.5977,27.6897,29.1837,28.7674,31.5941,26.9324,27.2473,29.7829,27.0122,28.9136,32.496,25.5736,
2340,8721,480,4626,28.3357,24.5187,30.571,31.4,31.1942,26.0177,25.8468,31.543,22.2523,30.4556,30.444,27.5806,30.4609,22.5901,27.6925,29.1828,28.7648,31.5936,26.9267,27.2434,29.7802,27.012,28.9121,32.5057,25.5674,
2340,8721,480,8722,28.3355,24.5128,30.5676,31.4026,31.2026,26.0368,25.8432,31.5482,22.2464,30.4567,30.4494,27.5756,30.4598,22.5808,27.6932,29.183,28.7614,31.5932,26.9208,27.2423,29.779,27.0083,28.9079,32.5153,25.5649,
2340,8721,480,4625,28.3354,24.5137,30.5679,31.4001,31.2029,26.0356,25.8436,31.5498,22.2474,30.4578,30.4465,27.5761,30.4608,22.5788,27.6935,29.183,28.7619,31.5948,26.9186,27.2431,29.7784,27.0085,28.9082,32.5144,25.5647,
2340,8721,480,534,28.3354,24.5182,30.5725,31.4036,31.195,26.0249,25.8447,31.5383,22.2514,30.4563,30.4383,27.5823,30.4594,22.5892,27.6912,29.1822,28.7641,31.5927,26.9249,27.2442,29.7792,27.0119,28.9099,32.5049,25.571,
2340,8721,480,6672,28.3353,24.5183,30.5709,31.4031,31.1952,26.0255,25.8459,31.5398,22.2515,30.4546,30.4387,27.5798,30.4612,22.589,27.6916,29.1818,28.7652,31.5932,26.9261,27.2427,29.7818,27.0085,28.9106,32.503,25.5693,
2340,8721,480,784,28.3333,24.5192,30.5749,31.4059,31.1887,26.0195,25.8442,31.5266,22.2505,30.4481,30.4304,27.5809,30.4593,22.5923,27.6879,29.1805,28.7654,31.5898,26.9282,27.2418,29.7804,27.0072,28.9095,32.4957,25.5713,
2340,8721,480,560,28.3331,24.5187,30.5737,31.4048,31.1895,26.0196,25.8441,31.5273,22.251,30.4497,30.4305,27.5816,30.4589,22.5916,27.6887,29.1801,28.7653,31.5916,26.9277,27.2406,29.7782,27.0065,28.9103,32.4926,25.5732,
2340,8721,480,2578,28.3331,24.5152,30.5697,31.4031,31.193,26.0241,25.8434,31.5329,22.2483,30.4506,30.4356,27.5792,30.4579,22.5886,27.6892,29.1809,28.763,31.5908,26.9252,27.239,29.7781,27.0081,28.9086,32.5023,25.5682,
2340,8721,480,4628,28.333,24.516,30.5697,31.4007,31.1943,26.0244,25.8436,31.5337,22.248,30.4496,30.4353,27.5783,30.4569,22.5882,27.6901,29.1791,28.7631,31.5896,26.9242,27.2387,29.7761,27.0086,28.9096,32.503,25.5705,
