flagA,flagB,flagC,flagD,ssimAverage,ssim0,ssim1,ssim2,ssim3,ssim4,ssim5,ssim6,ssim7,ssim8,ssim9,ssim10,ssim11,ssim12,ssim13,ssim14,ssim15,ssim16,ssim17,ssim18,ssim19,ssim20,ssim21,ssim22,ssim23,
2340,529,2772,4914,0.859394,0.750118,0.868792,0.913076,0.893099,0.861103,0.796645,0.945439,0.77846,0.904866,0.906737,0.830995,0.881093,0.710045,0.842515,0.888615,0.839602,0.920744,0.841652,0.846251,0.899817,0.861085,0.851717,0.945961,0.84704,
2336,529,2772,4914,0.859391,0.750828,0.869701,0.913541,0.893206,0.860237,0.796964,0.944621,0.777882,0.904919,0.906195,0.831249,0.881359,0.709952,0.842372,0.888343,0.84062,0.920699,0.841237,0.846575,0.899777,0.860963,0.851709,0.945838,0.846592,
292,529,2772,4914,0.859369,0.750794,0.869635,0.913568,0.893081,0.860139,0.796911,0.944628,0.777997,0.904722,0.906164,0.831304,0.881445,0.709993,0.842139,0.888507,0.840399,0.920485,0.841183,0.846607,0.89993,0.860905,0.851701,0.945877,0.846737,
2400,529,2772,4914,0.859299,0.750165,0.869154,0.913368,0.893162,0.860535,0.796567,0.944875,0.777895,0.904821,0.906379,0.830995,0.881261,0.709524,0.842392,0.888523,0.840365,0.92072,0.841443,0.846259,0.899684,0.860756,0.851676,0.945846,0.846808,
288,529,2772,4914,0.859288,0.75125,0.870352,0.913952,0.893139,0.859304,0.797054,0.94386,0.777335,0.904688,0.905568,0.831408,0.881613,0.709776,0.841965,0.888194,0.841253,0.920465,0.840739,0.846818,0.899857,0.860718,0.851608,0.94578,0.846219,
8480,529,2772,4914,0.859247,0.750642,0.869915,0.913543,0.89314,0.859831,0.796742,0.944238,0.777615,0.904685,0.906037,0.831104,0.881335,0.709585,0.842122,0.888309,0.840675,0.920608,0.840987,0.846545,0.89973,0.860886,0.851484,0.945786,0.846382,
352,529,2772,4914,0.859239,0.750726,0.869876,0.91381,0.893129,0.859599,0.796731,0.944079,0.777399,0.904614,0.905783,0.831247,0.88156,0.709475,0.842007,0.888422,0.841075,0.920469,0.840954,0.846543,0.899791,0.860565,0.851624,0.945806,0.846456,
1312,529,2772,4914,0.85921,0.751002,0.869943,0.913378,0.893196,0.859799,0.796837,0.944076,0.777642,0.904606,0.905555,0.831196,0.881471,0.709446,0.84195,0.888294,0.84063,0.920565,0.840992,0.846404,0.899589,0.860652,0.851687,0.945804,0.846321,
420,529,2772,4914,0.859204,0.750058,0.869002,0.91329,0.893062,0.860348,0.796299,0.944837,0.77782,0.904671,0.90641,0.830987,0.881248,0.709424,0.842143,0.888497,0.840065,0.920483,0.841342,0.846331,0.899655,0.860729,0.851508,0.945837,0.846848,
8484,529,2772,4914,0.859184,0.749929,0.869054,0.913043,0.892951,0.860519,0.79641,0.944922,0.778021,0.904581,0.906475,0.830851,0.881026,0.709631,0.842188,0.888456,0.839679,0.920521,0.841282,0.846218,0.899688,0.860969,0.851463,0.94578,0.846761,
