flagA,flagB,flagC,flagD,ssimAverage,ssim0,ssim1,ssim2,ssim3,ssim4,ssim5,ssim6,ssim7,ssim8,ssim9,ssim10,ssim11,ssim12,ssim13,ssim14,ssim15,ssim16,ssim17,ssim18,ssim19,ssim20,ssim21,ssim22,ssim23,
2340,529,2772,4914,0.859394,0.750118,0.868792,0.913076,0.893099,0.861103,0.796645,0.945439,0.77846,0.904866,0.906737,0.830995,0.881093,0.710045,0.842515,0.888615,0.839602,0.920744,0.841652,0.846251,0.899817,0.861085,0.851717,0.945961,0.84704,
2340,8720,2772,4914,0.859381,0.750072,0.86883,0.913162,0.893176,0.8612,0.796699,0.945399,0.778371,0.904653,0.906636,0.830883,0.880894,0.709869,0.84261,0.888737,0.839833,0.920838,0.841709,0.846203,0.899606,0.86106,0.851746,0.945963,0.84699,
2340,528,2772,4914,0.859375,0.750101,0.869184,0.912601,0.893074,0.860475,0.797409,0.944595,0.779272,0.904709,0.906691,0.831273,0.881098,0.710044,0.84218,0.888825,0.840263,0.920663,0.841407,0.846004,0.899738,0.861203,0.851504,0.945832,0.846865,
2340,592,2772,4914,0.859311,0.750068,0.868986,0.913057,0.893122,0.860715,0.796857,0.944855,0.778413,0.904604,0.906554,0.831016,0.881125,0.709642,0.842393,0.888848,0.840113,0.9207,0.841482,0.846001,0.899741,0.860845,0.851585,0.945824,0.846922,
2340,8721,2772,4914,0.859309,0.749848,0.868303,0.91367,0.893152,0.861826,0.795751,0.94626,0.777323,0.904734,0.906598,0.830482,0.880778,0.709713,0.842827,0.888469,0.838969,0.920882,0.841876,0.846363,0.899693,0.860814,0.851881,0.94611,0.847099,
2340,656,2772,4914,0.859284,0.750089,0.868961,0.912961,0.893206,0.860611,0.796756,0.94477,0.7784,0.904721,0.906646,0.830922,0.881018,0.709418,0.842375,0.888671,0.840077,0.920753,0.841451,0.846222,0.899536,0.86093,0.851573,0.945836,0.846923,
2340,536,2772,4914,0.859253,0.750287,0.869051,0.912701,0.893124,0.860597,0.797062,0.944691,0.778875,0.90456,0.906223,0.830941,0.881136,0.709676,0.84208,0.888762,0.839907,0.920644,0.841464,0.845607,0.899569,0.860892,0.851653,0.945825,0.84674,
2340,4624,2772,4914,0.859224,0.749709,0.868925,0.912772,0.893063,0.860503,0.796682,0.945068,0.77858,0.904611,0.906779,0.830766,0.880823,0.709576,0.842274,0.888741,0.839781,0.920737,0.841409,0.846085,0.89953,0.861012,0.851401,0.94579,0.84675,
2340,1552,2772,4914,0.859221,0.750276,0.869013,0.912665,0.893132,0.8606,0.796994,0.94467,0.77873,0.904486,0.906174,0.830975,0.881114,0.709528,0.842083,0.888751,0.839901,0.920696,0.841449,0.845579,0.899395,0.8609,0.851646,0.945825,0.846726,
2340,532,2772,4914,0.859217,0.750058,0.869099,0.912784,0.893019,0.860693,0.796705,0.945147,0.777954,0.904547,0.906357,0.830837,0.880925,0.709688,0.842204,0.88862,0.839578,0.920667,0.841433,0.846143,0.899646,0.860972,0.85158,0.94585,0.846706,
2340,8728,2772,4914,0.859206,0.750195,0.868602,0.913268,0.89319,0.861261,0.796269,0.945572,0.777793,0.904465,0.906131,0.830478,0.880886,0.709415,0.842453,0.888668,0.839391,0.920785,0.841702,0.845752,0.899383,0.860686,0.851814,0.945978,0.846796,
2340,530,2772,4914,0.859204,0.749779,0.868862,0.912737,0.89297,0.860482,0.796642,0.945107,0.778582,0.904614,0.906833,0.830829,0.880846,0.709629,0.842182,0.888463,0.839604,0.920616,0.841423,0.846024,0.899714,0.861023,0.851368,0.945794,0.846779,
2340,1553,2772,4914,0.859185,0.750196,0.868584,0.913188,0.893132,0.86112,0.79615,0.945596,0.777814,0.90459,0.906179,0.830628,0.881063,0.709409,0.842295,0.8885,0.839163,0.920746,0.841623,0.84573,0.89944,0.860698,0.851789,0.945967,0.846835,
2340,2576,2772,4914,0.859183,0.750035,0.869075,0.91273,0.893139,0.86076,0.79665,0.945058,0.777791,0.904632,0.906427,0.83066,0.880696,0.709627,0.842274,0.888399,0.83963,0.920743,0.841408,0.8461,0.899471,0.860933,0.851569,0.945827,0.846759,
